	% 10/3/2018	
	% 3:30 PM	
	% SAMPLE D mass: 142.398 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 	
	452.335	93.370	25.708	25.850
	453.425	93.032	25.719	25.872
	454.482	92.983	25.718	25.848
	455.540	93.289	25.714	25.884
	456.575	93.317	25.720	25.872
	457.605	93.207	25.718	25.867
	458.644	93.386	25.716	25.873
	459.683	93.216	25.712	25.873
	460.707	93.364	25.727	25.876
	461.796	93.012	25.746	25.833
	462.827	93.203	25.732	25.895
	463.863	93.484	25.736	25.876
	464.894	93.231	25.722	25.873
	465.927	93.162	25.714	25.874
	466.964	93.210	25.721	25.873
	468.006	93.345	25.715	25.869
	469.050	93.368	25.732	25.875
	470.088	93.451	25.723	25.885
	471.130	93.499	25.720	25.885
	472.174	93.303	25.724	25.845
	473.206	93.337	25.730	25.894
	474.236	93.279	25.731	25.884
	475.264	93.415	25.714	25.865
	476.300	93.200	25.746	25.879
	477.335	93.284	25.727	25.889
	478.368	93.355	25.718	25.866
	479.402	93.431	25.710	25.877
	480.435	93.317	25.716	25.869
	481.471	93.436	25.718	25.866
	482.496	93.503	25.716	25.856
	483.529	93.532	25.724	25.866
	484.571	93.380	25.720	25.862
	485.611	93.532	25.721	25.867
	486.647	93.456	25.733	25.873
	487.681	93.232	25.724	25.877
	488.707	93.245	25.701	25.884
	489.736	93.413	25.710	25.866
	490.763	93.517	25.718	25.877
	491.792	93.195	25.733	25.893
	492.821	93.366	25.735	25.864
	493.862	93.130	25.731	25.886
	494.892	93.495	25.728	25.879
	495.926	93.277	25.704	25.875
	496.961	93.142	25.712	25.866
	497.988	93.476	25.723	25.866
	499.015	93.333	25.713	25.855
	500.045	93.396	25.717	25.860
	501.074	93.397	25.727	25.865
	502.115	93.199	25.719	25.876
	503.145	93.353	25.720	25.845
	504.181	93.313	25.720	25.887
	505.212	93.206	25.713	25.881
	506.247	93.229	25.728	25.886
	507.279	93.338	25.725	25.887
	508.316	92.979	25.721	25.865
	509.346	93.296	25.728	25.864
	510.382	93.396	25.725	25.870
	511.413	93.323	25.704	25.873
	512.447	93.337	25.712	25.853
	513.473	93.274	25.697	25.860
	514.500	93.210	25.710	25.870
	515.527	93.074	25.705	25.863
	516.553	93.215	25.684	25.885
	517.582	93.371	25.707	25.876
	518.617	93.402	25.721	25.859
	519.653	93.463	25.708	25.868
	520.682	93.149	25.715	25.872
	521.715	93.400	25.712	25.868
	522.747	93.356	25.713	25.870
	523.777	93.444	25.713	25.866
	524.812	93.423	25.693	25.866
	525.844	93.415	25.721	25.862
	526.871	93.370	25.703	25.854
	527.897	93.359	25.684	25.851
	528.923	93.415	25.708	25.848
	529.994	93.419	25.707	25.891
	531.028	93.248	25.728	25.858
	532.054	93.286	25.715	25.865
	533.088	93.119	25.719	25.865
	534.113	93.179	25.718	25.872
	535.144	93.341	25.708	25.825
	536.177	93.391	25.686	25.853
	537.207	93.590	25.710	25.855
	538.256	93.293	25.695	25.847
	539.286	93.375	25.685	25.861
	540.320	93.300	25.702	25.869
	541.354	93.420	25.708	25.853
	542.401	93.296	25.704	25.866
	543.427	93.394	25.713	25.860
	544.466	93.267	25.712	25.835
	545.500	93.264	25.694	25.852
	546.528	93.400	25.705	25.844
	547.564	93.295	25.712	25.853
	548.594	93.253	25.724	25.859
	549.621	93.409	25.672	25.845
	550.654	93.336	25.701	25.858
	551.682	93.418	25.709	25.841
	552.714	93.410	25.694	25.848
	553.746	93.416	25.688	25.861
