	% 10/3/2018	
	% 8:20 AM
	% SAMPLE A mass: 91.767 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	617.229	93.212	26.877	27.012
	618.256	93.182	26.871	27.005
	619.282	93.072	26.877	26.992
	620.304	92.941	26.861	27.002
	621.325	93.076	26.910	27.002
	622.355	93.214	26.881	27.000
	623.405	93.273	26.872	27.011
	624.431	93.185	26.880	27.005
	625.460	93.156	26.880	27.002
	626.512	93.234	26.865	27.006
	627.540	93.100	26.889	27.001
	628.565	93.158	26.890	27.001
	629.603	93.170	26.877	27.005
	630.643	93.100	26.888	26.999
	631.670	93.014	26.870	27.003
	632.701	93.163	26.884	27.017
	633.718	93.116	26.864	26.997
	634.739	93.137	26.892	27.022
	635.759	93.193	26.868	26.990
	636.795	93.240	26.889	26.983
	637.826	93.194	26.873	27.012
	638.855	93.110	26.868	27.006
	639.901	93.190	26.873	27.015
	640.957	93.094	26.861	27.003
	641.979	93.087	26.873	26.997
	643.021	93.186	26.877	27.003
	644.046	93.206	26.852	27.032
	645.071	93.173	26.882	27.011
	646.096	93.053	26.871	26.989
	647.118	93.206	26.880	26.995
	648.144	93.270	26.875	26.982
	649.168	93.224	26.862	27.002
	650.196	93.338	26.857	26.985
	651.225	93.250	26.859	26.994
	652.255	93.231	26.864	26.987
	653.281	93.165	26.878	26.993
	654.335	93.165	26.875	26.993
	655.370	93.152	26.887	27.000
	656.408	93.183	26.873	26.980
	657.433	93.023	26.862	26.996
	658.457	93.204	26.867	26.993
	659.480	93.124	26.857	26.988
	660.505	93.253	26.871	26.988
	661.530	93.170	26.886	26.978
	662.555	93.148	26.866	26.999
	663.580	93.320	26.858	26.989
	664.631	93.239	26.862	26.979
	665.658	93.216	26.878	26.997
	666.686	93.223	26.858	26.986
	667.713	93.205	26.870	27.013
	668.745	93.206	26.848	26.990
	669.773	93.162	26.850	26.969
	670.808	93.255	26.866	26.965
	671.837	93.250	26.855	26.990
	672.870	93.214	26.879	26.987
	673.927	93.245	26.878	26.977
	674.951	93.333	26.857	26.981
	675.976	93.294	26.864	27.000
	677.011	93.422	26.875	26.984
	678.037	93.407	26.865	26.998
	679.074	93.483	26.860	26.996
	680.098	93.308	26.861	26.985
	681.125	93.343	26.855	26.995
	682.157	93.137	26.840	26.980
	683.197	93.220	26.857	26.982
	684.228	93.185	26.870	26.983
	685.259	93.190	26.862	26.993
	686.293	93.238	26.859	26.978
	687.324	93.196	26.862	26.998
	688.352	93.147	26.859	26.988
	689.393	93.256	26.868	26.991
	690.434	93.274	26.886	26.979
	691.471	93.316	26.847	26.969
	692.506	93.256	26.836	26.977
	693.534	93.266	26.852	26.973
	694.567	93.234	26.870	26.981
	695.597	93.162	26.828	26.977
	696.622	93.314	26.848	26.992
	697.654	93.233	26.830	26.997
	698.699	93.269	26.866	26.985
	699.731	93.293	26.858	26.967
	700.766	93.429	26.853	26.967
	701.802	93.267	26.857	26.997
	702.841	93.175	26.838	26.966
	703.869	93.103	26.863	26.997
	704.898	93.175	26.850	26.959
	705.946	93.191	26.863	26.982
	706.984	93.079	26.857	26.981
	708.014	93.226	26.869	27.003
	709.045	93.240	26.852	26.972
	710.075	93.120	26.851	26.978
	711.109	93.250	26.853	26.990
	712.138	93.204	26.837	26.984
	713.169	93.157	26.846	26.958
	714.198	93.239	26.844	26.997
	715.236	93.157	26.879	26.986
	716.272	93.214	26.841	26.972
	717.326	93.193	26.847	26.973
	718.359	93.203	26.852	26.977
	719.388	93.025	26.830	26.960
	720.421	93.187	26.847	26.973
	721.454	93.176	26.852	27.000
	722.506	93.265	26.847	26.956
	723.533	93.117	26.840	26.993
	724.574	93.167	26.830	26.972
	725.597	93.071	26.870	26.961
	726.622	93.174	26.865	26.967
	727.647	93.183	26.852	26.971
	728.675	93.154	26.871	26.981
	729.715	93.113	26.843	26.993
	730.751	93.175	26.840	26.981
	731.782	93.176	26.851	26.967
	732.825	93.083	26.843	26.964
	733.849	93.107	26.852	26.966
	734.874	93.094	26.843	26.987
	735.904	93.029	26.853	26.953
	736.932	93.093	26.837	26.966
	737.961	93.045	26.829	26.983
	738.989	93.080	26.830	26.967
	740.026	93.111	26.838	26.972
	741.064	93.031	26.837	26.956
	742.094	93.108	26.830	26.967
	743.141	93.208	26.861	26.985
	744.177	93.256	26.849	26.950
	745.201	93.143	26.838	26.953
	746.229	93.290	26.861	26.962
	747.263	93.202	26.847	26.958
	748.301	93.181	26.853	26.983
	749.335	93.068	26.835	26.968
	750.361	92.967	26.858	26.962
	751.388	93.151	26.832	26.999
	752.416	93.142	26.836	26.956
	753.445	93.159	26.843	26.963
	754.471	93.295	26.854	26.967
	755.511	93.230	26.866	26.961
	756.536	93.091	26.842	26.968
	757.572	93.074	26.856	26.955
	758.604	93.190	26.817	26.991
	759.635	93.271	26.860	26.969
	760.668	93.344	26.849	26.961
	761.697	93.182	26.862	26.971
	762.763	93.109	26.866	26.969
	763.789	93.080	26.864	26.988
	764.816	93.082	26.840	26.987
	765.871	93.200	26.867	26.945
	766.904	93.293	26.859	26.960
	767.929	93.165	26.852	26.999
	768.955	93.141	26.848	26.974
	769.978	93.244	26.838	26.946
	771.002	93.131	26.840	26.978
	772.029	93.143	26.855	26.980
	773.053	93.178	26.841	26.965
	774.079	93.196	26.870	26.949
	775.105	93.149	26.851	26.976
	776.134	93.240	26.844	26.975
	777.159	93.179	26.857	26.964
	778.192	93.249	26.857	26.964
	779.214	93.169	26.861	26.978
	780.239	93.146	26.846	26.971
	781.263	93.122	26.828	26.973
	782.290	93.159	26.837	26.965
	783.315	93.152	26.841	26.974
	784.340	93.109	26.839	26.957
	785.365	93.199	26.849	26.987
	786.386	93.064	26.871	26.970
	787.416	93.225	26.842	26.956
	788.446	93.183	26.841	26.964
